Accession Number,Genus,Species,Strain,Location,Cryo Pvalue,Inoc Date,n Tubes Frozen,Date Frozen,Label
1146,Laricifomes,officinalis,XXV (25)- #75,E6,3,6/26/2020,9,8/3/2020,Fo XXV (25) #75 P3 6-26-20
1127,Laricifomes,officinalis,XL (40) - Goldmeyer Hot Springs,E7,3,6/26/2020,9,8/4/2020,Fo XL (40) Gold. H. S. P3 6-26-20
1142,Laricifomes,officinalis,XXII (22)- Near Gun Club,E6,2,6/26/2020,9,8/6/2020,Fo XXII (22) Near Gun Club P2 6-26-20
1130,Laricifomes,officinalis,XLIII (43) - Twin Lakes,E5,2,7/1/2020,9,8/6/2020,Fo XLIII (43) Twin Lakes P3 7-1-20
1131,Laricifomes,officinalis,XLIV (44) - Cold Spring,E5,3,7/1/2020,9,8/6/2020,Fo XLIV (44) Cold Spring P3 7-1-20
1128,Laricifomes,officinalis,XLI (41) - Powell River,E5,3,7/1/2020,9,8/7/2020,Fo XLI (41) Powell River P3 7-1-20
1129,Laricifomes,officinalis,XLII (42) - Turtlehead,E5,2,7/1/2020,9,8/7/2020,Fo XLII (42) Turtle… P2  7-1-20
1132,Laricifomes,officinalis,XLIX (49) - Spider Lake II,E6,3,7/2/2020,9,8/10/2020,Fo XLIX (49) Spider Lake II P3 7-2-20
1093,Laricifomes,officinalis,Larson's Meadow,E5,4,7/2/2020,9,8/10/2020,Fo L's Meadow I P4 7-2-20
1103,Laricifomes,officinalis,Sanctuary,E6,2,7/2/2020,9,8/10/2020,Fo Sanct. P2 7-2-20
1097,Laricifomes,officinalis,Nowak,E5,1,7/2/2020,9,8/10/2020,Fo Nowak P1 7-2-20
1133,Laricifomes,officinalis,XLV (45) - Baker,E5,3,7/2/2020,9,8/11/2020,Fo XLV (45) Baker P3 7-2-20
1112,Laricifomes,officinalis,Vancouver Island,E5,4,7/2/2020,9,8/11/2020,Fo Vanc. Is. P4 7-2-20
1136,Laricifomes,officinalis,XLVIII (48) - Taylor River,E6,3,7/2/2020,9,8/12/2020,Fo XLVIII (48) Taylor River P3 7-2-20
1094,Laricifomes,officinalis,Larson's Meadow II,E6,2,7/2/2020,9,8/12/2020,Fo L's Meadow II P2 7-2-20
1231,Hericium,erinaceus,VII- Priest Point,E8,3,8/28/2020,9,9/28/2020,He VII Priest Point P3 8-28-20
1222,Hericium,erinaceus,Hai,E5,2,8/28/2020,9,9/28/2020,He Hai P2 8-28-20
1223,Hericium,erinaceus,I,E4,22,8/28/2020,9,10/2/2020,He I P22 8-28-20
1228,Hericium,erinaceus,Richmond VA,E5,5,8/28/2020,9,10/2/2020,He Richmond VA P5 8-28-20
1232,Hericium,erinaceus,VIII- Rock MD,E4,2,8/28/2020,9,10/8/2020,He VIII Rock MD P2 8-28-20
1108,Laricifomes,officinalis,Terrace,E4,2,9/11/2020,9,10/8/2020,Fo F65 Terrace P2 9-11-2020
1107,Laricifomes,officinalis,Spider Lake III,E4,3,9/11/2020,9,10/12/2020,Fo F67 Spider Lake III P3 9-11-2020
1109,Laricifomes,officinalis,Tiger Mountain,E4,1,9/11/2020,9,10/12/2020,Fo F69 Tiger Mt. P1 9-11-2020
1086,Laricifomes,officinalis,Hamilton Buttes,E4,1,9/11/2020,9,10/14/2020,Fo F68 Hamilton B. T. P1 9-11-20
1104,Laricifomes,officinalis,Skookum Flats,E4,1,9/11/2020,9,10/22/2020,Fo F66 Skookum Flats P1 9-11-2020
1225,Hericium,erinaceus,III- MD,E3,2,9/29/2020,9,10/30/2020,He III MD P2 9-29-20
1175,Ganoderma,lucidum,52412,E4,22,10/9/2020,9,10/22/2020,Gl 52412 P22 10-9-20
1181,Ganoderma,lucidum,UJ,E4,26,10/9/2020,9,10/29/2020,Gl UJ P26 10-9-20
1180,Ganoderma,lucidum,Maryland,E4,2,10/9/2020,9,10/29/2020,Gl Maryland P2 10-9-20
1178,Ganoderma,lucidum,La Gardin,E3,3,10/9/2020,9,10/30/2020,Gl La Gardin P3 10-9-20
1179,Ganoderma,lucidum,LH-1,E3,14,10/9/2020,9,11/3/2020,Gl LH - 1 P14 10-9-20
1056,Flammulina,filiformis,FP I,E3,9,10/22/2020,9,11/3/2020,Fv FP - 1 P9 10-22-20
1047,Ophiocordyceps,sinensis,franklin #8227,E3,2,10/22/2020,9,11/4/2020,Cs Franklin P2 10-22-20
1058,Flammulina,populicola,NC,E3,18,10/22/2020,9,11/4/2020,Fv NC P18 10-22-20
1045,Cordyceps,militaris,Mycosymbiotic,E3,2,10/22/2020,9,11/23/2020,Cm mycosym. P2 10-22-20
1005,Agaricus,bitorquis,Q III,E2,3,10/29/2020,9,12/1/2020,A. bit. Q III P3 10-29-20
1326,Chlorophyllum,rhacodes,II-Kamilche,E1,19,10/29/2020,9,1/11/2021,Mr II P19 10-29-20
1002,Agaricus,bisporus,II SA,E2,8,11/6/2020,9,12/1/2020,A. brunn. II SA P8 11-6-20
1019,Agrocybe,praecox,Casino-Freeway,E2,2,11/6/2020,9,12/1/2020,A. praecox Casino… P2 11-6-20
1015,Agaricus,lilaceps,I,E2,19,11/6/2020,9,12/10/2020,A. lilaeps I P19 11-6-20
1021,Armillaria,mellea,Colo,E2,2,11/6/2020,9,12/10/2020,A. mellea Colo P2 11-6-20
1020,Agrocybe,sp,Tatoosh,E2,4,11/6/2020,9,12/16/2020,Agrocybe sp. Tatoosh P4 11-6-20
1038,Coprinus,comatus,I,E3,17,11/12/2020,9,11/25/2020,Cc I P17 11-12-20
1035,Coprinus,comatus,Eastside,E3,2,11/12/2020,9,11/25/2020,Cc Eastside P2 11-12-20
1031,Calocybe,indica,Aloha,E2,3,11/12/2020,9,11/30/2020,Ci Aloha P3 11-12-20
1037,Coprinus,comatus,Georgia Pacific,E3,2,11/12/2020,9,11/30/2020,Cc G. Pacific P2 11-12-20
1036,Coprinus,comatus,FB-2,E2,2,11/12/2020,9,12/1/2020,Cc FB-2 P2 11-12-20
1033,Calvatia,cyathiformis,I,E1,2,11/12/2020,9,1/4/2021,Calbovista sp. I P2 11-12-20
1018,Cyclocybe,parasitica,Aloha,E1,4,12/1/2020,9,12/17/2020,A. aegerita Aloha P4 12-1-20
1000,Agaricus,augustus,I,E1,13,12/1/2020,9,12/21/2020,A. augustus I P13 12-1-20
1059,Flammulina,populicola,TELL-II,E2,2,12/2/2020,9,12/16/2020,Fp TELL - II P2 12-2-20
1057,Flammulina,filiformis,I,E2,9,12/2/2020,9,12/17/2020,Fp I P9 12-2-20
1066,Fomes,fomentarius,Mass,E1,2,12/2/2020,9,12/21/2020,Ff Mass P2 12-2-20
1063,Fomes,eberhartii,I,E1,2,12/2/2020,9,12/22/2020,Fe I P2 12-2-20
1068,Fomes,fomentarius,U of Virginia,E1,4,12/2/2020,9,12/22/2020,Ff U of V P4 12-2-20
1055,Fistulina,hepatica,I,E1,2,12/2/2020,9,1/4/2021,Fh I P2 12-2-20
1041,Tolypocladium,capitatum,Cortes,E1,12,12/2/2020,9,1/11/2021,C. capitata Cortes P12 12-2-20
1067,Fomes,fomentarius,Norway,E1,2,3/24/2021,9,4/12/2021,Ff Norway P2 3-24-21
1069,Fomes,fomentarius,Vancouver,D8,3,3/24/2021,9,4/12/2021,Ff Vancouver P3 3-24-21
1176,Ganoderma,lucidum,62451,D8,8,4/6/2021,9,4/23/2021,Gl 62451 P8 4-6-21
1293,Lentinula,edodes,CS master,D8,4,4/6/2021,9,4/26/2021,Le cs P4 4-6-21
1034,Clitocybe,odora,I,D7,1,4/6/2021,10,5/12/2021,Co I P1 4-6-21
1401,Pleurotus,ostreatus,PWOST,D8,8,4/9/2021,9,4/23/2021,Po PWOST P8 4-9-21
1198,Grifola,frondosa,158772,D8,4,4/9/2021,9,4/30/2021,Gf 158772 P4 4-9-21
1365,Fomitopsis,betulina,NY St. Regis,D8,2,4/9/2021,8,4/30/2021,Pb NY St. Regis P2 4-9-21
1174,Ganoderma,lucidum,7400,D8,15,4/12/2021,9,4/26/2021,Gl 7400 P15 4-12-21
1190,Ganoderma,oregonense,II - Meadow Lake,D7,11,4/12/2021,9,5/4/2021,Go Mead. Lake P11 4-12-21
1348,Tropicoporus,linteus,I,D8,2,4/12/2021,9,5/4/2021,Pl I P2 4-12-21
1224,Hericium,erinaceus,II,D7,4,4/12/2021,9,5/6/2021,He II 2501 P4 4-12-21
1065,Fomes,fomentarius,I,D8,5,4/16/2021,9,5/3/2021,Ff I P5 4-16-21
1169,Ganoderma,applanatum,II - Duckabush,D7,3,4/16/2021,9,5/3/2021,Ga II Duck. P3 4-16-21
1268,Inonotus,obliquus,I,D7,14,4/16/2021,9,5/6/2021,Io I P14 4-16-21
1290,Lentinula,edodes,705 Solstice,D7,15,5/14/2021,10,6/1/2021,Le 705 Sol. P15 5-14-21
1435,Schizophyllum,commune,I,D7,5,5/14/2021,10,6/1/2021,Sc I P5 5-14-21
1417,Metacordyceps,chlamydosporia,123,D6,1,5/14/2021,10,6/7/2021,Pc 123 P1 5-14-21
1061,Flammulina,velutipes,IV - #58/1423,D7,6,5/17/2021,10,6/1/2021,Fv IV P6 5-17-21
1335,Morchella,esculenta,M18,D6,7,5/17/2021,10,6/3/2021,Me M18 P7 5-17-21
1446,Stropharia,rugosoannulata,Franklin wine cap #8621,D6,2,5/17/2021,10,6/7/2021,Sra Frank. P2 5-17-21
1373,Pleurotus,eryngii,I,D7,2,5/21/2021,10,6/3/2021,Pe I P2 5-21-21
1426,Wolfiporia,cocos,II,D7,2,5/21/2021,10,6/3/2021,Pc II P2 5-21-21
1409,Pleurotus,pulmonarius,I,D6,2,5/21/2021,10,6/7/2021,Pp I P2 5-21-21
1425,Wolfiporia,cocos,I,D6,2,5/21/2021,10,6/15/2021,Pc I P2 5-21-21
1299,Lentinula,edodes,MM,D6,17,6/1/2021,10,6/15/2021,Le MM P17 6-1-21
