Accession Number,Genus,Species,Strain,Location,Pvalue,Inoc Date,Date Frozen,Date Thawed,n Tubes Thawed,n Plates,Viable
1127,Fomitopsis,officinalis,XL (40) - Goldmeyer Hot Springs,E7,3,6/26/2020,8/4/2020,8/5/2020,2,6,6
1146,Fomitopsis,officinalis,XXV (25)- #75,E6,3,6/26/2020,8/3/2020,8/4/2020,2,6,6
1141,Fomitopsis,officinalis,XX (20)- Trudy Cortes II,E6,2,6/26/2020,8/3/2020,8/4/2020,2,6,6
1127,Fomitopsis,officinalis,XL (40) - Goldmeyer Hot Springs,E7,3,6/26/2020,8/4/2020,1/14/2022,1,4,4
1131,Fomitopsis,officinalis,XLIV (44) - Cold Spring,E5,3,7/1/2020,8/6/2020,8/7/2020,2,6,6
1130,Fomitopsis,officinalis,XLIII (43) - Twin Lakes,E5,2,7/1/2020,8/6/2020,8/7/2020,2,6,6
1129,Fomitopsis,officinalis,XLII (42) - Turtlehead,E5,2,7/1/2020,8/7/2020,8/8/2020,2,6,6
1128,Fomitopsis,officinalis,XLI (41) - Powell River,E5,3,7/1/2020,8/7/2020,8/8/2020,2,6,6
1128,Fomitopsis,officinalis,XLI (41) - Powell River,E5,3,7/1/2020,8/7/2020,1/14/2022,1,4,4
1094,Fomitopsis,officinalis,Larson's Meadow II,E6,2,7/2/2020,8/12/2020,8/13/2020,2,6,6
1103,Fomitopsis,officinalis,Sanctuary,E6,2,7/2/2020,8/10/2020,8/11/2020,2,6,6
1097,Fomitopsis,officinalis,Nowak,E5,1,7/2/2020,8/10/2020,8/11/2020,2,6,6
1093,Fomitopsis,officinalis,Larson's Meadow,E5,4,7/2/2020,8/10/2020,8/11/2020,2,6,6
1112,Fomitopsis,officinalis,Vancouver Island,E5,4,7/2/2020,8/11/2020,8/12/2020,2,6,6
1133,Fomitopsis,officinalis,XLV (45) - Baker,E5,3,7/2/2020,8/11/2020,8/12/2020,2,6,6
1136,Fomitopsis,officinalis,XLVIII (48) - Taylor River,E6,3,7/2/2020,8/12/2020,8/13/2020,2,6,6
1132,Fomitopsis,officinalis,XLIX (49) - Spider Lake II,E6,3,7/2/2020,8/10/2020,8/11/2020,2,6,6
1133,Fomitopsis,officinalis,XLV (45) - Baker,E5,3,7/2/2020,8/11/2020,1/14/2022,1,4,4
1103,Fomitopsis,officinalis,Sanctuary,E6,2,7/2/2020,8/10/2020,5/26/2022,1,6,6
1228,Hericium,erinaceus,Richmond VA,E5,5,8/28/2020,10/2/2020,10/3/2020,2,6,6
